StationName,ParameterName,ReadingDate,Value,Zone
Woodcroft,Total Oxides of Nitrogen,2025-05-20T01:00:00-06:00,0.004,ACA
Woodcroft,Nitric Oxide,2025-05-20T01:00:00-06:00,0.0,ACA
Woodcroft,Wind Direction,2025-05-20T01:00:00-06:00,130.0,ACA
Woodcroft,Outdoor Temperature,2025-05-20T01:00:00-06:00,7.7,ACA
Woodcroft,Wind Speed,2025-05-20T01:00:00-06:00,7.2,ACA
Woodcroft,Fine Particulate Matter,2025-05-20T01:00:00-06:00,8.3,ACA
Woodcroft,Ozone,2025-05-20T01:00:00-06:00,0.016,ACA
Woodcroft,Relative Humidity,2025-05-20T01:00:00-06:00,82.3,ACA
Woodcroft,Nitrogen Dioxide,2025-05-20T01:00:00-06:00,0.004,ACA
Woodcroft,Outdoor Temperature,2025-05-20T00:00:00-06:00,7.9,ACA
Woodcroft,,2025-05-20T00:00:00-06:00,2.0,ACA
Woodcroft,Wind Speed,2025-05-20T00:00:00-06:00,7.9,ACA
Woodcroft,Relative Humidity,2025-05-20T00:00:00-06:00,80.8,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-20T00:00:00-06:00,0.005,ACA
Woodcroft,Fine Particulate Matter,2025-05-20T00:00:00-06:00,7.7,ACA
Woodcroft,Nitrogen Dioxide,2025-05-20T00:00:00-06:00,0.004,ACA
Woodcroft,Ozone,2025-05-20T00:00:00-06:00,0.017,ACA
Woodcroft,Sulphur Dioxide,2025-05-20T00:00:00-06:00,0.0,ACA
Woodcroft,Nitric Oxide,2025-05-20T00:00:00-06:00,0.0,ACA
Woodcroft,Wind Direction,2025-05-20T00:00:00-06:00,109.0,ACA
Woodcroft,Wind Speed,2025-05-19T23:00:00-06:00,7.3,ACA
Woodcroft,Relative Humidity,2025-05-19T23:00:00-06:00,79.1,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T23:00:00-06:00,0.004,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T23:00:00-06:00,0.004,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T23:00:00-06:00,0.0,ACA
Woodcroft,Wind Direction,2025-05-19T23:00:00-06:00,107.0,ACA
Woodcroft,,2025-05-19T23:00:00-06:00,2.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T23:00:00-06:00,0.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T23:00:00-06:00,8.0,ACA
Woodcroft,Ozone,2025-05-19T23:00:00-06:00,0.018,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T23:00:00-06:00,5.5,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T22:00:00-06:00,0.005,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T22:00:00-06:00,0.005,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T22:00:00-06:00,0.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T22:00:00-06:00,0.0,ACA
Woodcroft,Relative Humidity,2025-05-19T22:00:00-06:00,74.4,ACA
Woodcroft,Ozone,2025-05-19T22:00:00-06:00,0.019,ACA
Woodcroft,Outdoor Temperature,2025-05-19T22:00:00-06:00,8.3,ACA
Woodcroft,Wind Direction,2025-05-19T22:00:00-06:00,102.0,ACA
Woodcroft,,2025-05-19T22:00:00-06:00,2.0,ACA
Woodcroft,Wind Speed,2025-05-19T22:00:00-06:00,8.9,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T22:00:00-06:00,6.4,ACA
Woodcroft,Ozone,2025-05-19T21:00:00-06:00,0.02,ACA
Woodcroft,Outdoor Temperature,2025-05-19T21:00:00-06:00,8.6,ACA
Woodcroft,Nitric Oxide,2025-05-19T21:00:00-06:00,0.0,ACA
Woodcroft,Wind Direction,2025-05-19T21:00:00-06:00,100.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T21:00:00-06:00,0.0,ACA
Woodcroft,,2025-05-19T21:00:00-06:00,2.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T21:00:00-06:00,0.004,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T21:00:00-06:00,0.004,ACA
Woodcroft,Wind Speed,2025-05-19T21:00:00-06:00,10.8,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T21:00:00-06:00,6.9,ACA
