Value,StationName,ParameterName,ReadingDate,Zone
0.0,Breton,Nitric Oxide,2026-02-15T02:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T01:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-15T01:00:00-07:00,WCAS
0.034,Breton,Ozone,2026-02-15T01:00:00-07:00,WCAS
1.6,Breton,Wind Speed,2026-02-15T01:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T01:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T01:00:00-07:00,WCAS
75.6,Breton,Relative Humidity,2026-02-15T01:00:00-07:00,WCAS
-4.2,Breton,Outdoor Temperature,2026-02-15T01:00:00-07:00,WCAS
138.0,Breton,Wind Direction,2026-02-15T01:00:00-07:00,WCAS
250.0,Breton,Wind Direction,2026-02-15T00:00:00-07:00,WCAS
1.6,Breton,Wind Speed,2026-02-15T00:00:00-07:00,WCAS
72.3,Breton,Relative Humidity,2026-02-15T00:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-15T00:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-15T00:00:00-07:00,WCAS
0.036,Breton,Ozone,2026-02-15T00:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-15T00:00:00-07:00,WCAS
-3.1,Breton,Outdoor Temperature,2026-02-15T00:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-15T00:00:00-07:00,WCAS
2.3,Breton,Wind Speed,2026-02-14T23:00:00-07:00,WCAS
-2.6,Breton,Outdoor Temperature,2026-02-14T23:00:00-07:00,WCAS
67.6,Breton,Relative Humidity,2026-02-14T23:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T23:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T23:00:00-07:00,WCAS
168.0,Breton,Wind Direction,2026-02-14T23:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-14T23:00:00-07:00,WCAS
0.037,Breton,Ozone,2026-02-14T23:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T23:00:00-07:00,WCAS
2.9,Breton,Wind Speed,2026-02-14T22:00:00-07:00,WCAS
-2.4,Breton,Outdoor Temperature,2026-02-14T22:00:00-07:00,WCAS
63.6,Breton,Relative Humidity,2026-02-14T22:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T22:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-14T22:00:00-07:00,WCAS
0.001,Breton,Nitrogen Dioxide,2026-02-14T22:00:00-07:00,WCAS
159.0,Breton,Wind Direction,2026-02-14T22:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T22:00:00-07:00,WCAS
0.037,Breton,Ozone,2026-02-14T22:00:00-07:00,WCAS
-2.3,Breton,Outdoor Temperature,2026-02-14T21:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-14T21:00:00-07:00,WCAS
150.0,Breton,Wind Direction,2026-02-14T21:00:00-07:00,WCAS
0.038,Breton,Ozone,2026-02-14T21:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T21:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T21:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T21:00:00-07:00,WCAS
61.1,Breton,Relative Humidity,2026-02-14T21:00:00-07:00,WCAS
1.4,Breton,Wind Speed,2026-02-14T21:00:00-07:00,WCAS
0.9,Breton,Wind Speed,2026-02-14T20:00:00-07:00,WCAS
0.037,Breton,Ozone,2026-02-14T20:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-14T20:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T20:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T20:00:00-07:00,WCAS
118.0,Breton,Wind Direction,2026-02-14T20:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T20:00:00-07:00,WCAS
60.5,Breton,Relative Humidity,2026-02-14T20:00:00-07:00,WCAS
-2.3,Breton,Outdoor Temperature,2026-02-14T20:00:00-07:00,WCAS
0.039,Breton,Ozone,2026-02-14T19:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T19:00:00-07:00,WCAS
1.6,Breton,Wind Speed,2026-02-14T19:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T19:00:00-07:00,WCAS
116.0,Breton,Wind Direction,2026-02-14T19:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T19:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-14T19:00:00-07:00,WCAS
-2.0,Breton,Outdoor Temperature,2026-02-14T19:00:00-07:00,WCAS
59.0,Breton,Relative Humidity,2026-02-14T19:00:00-07:00,WCAS
0.9,Breton,Wind Speed,2026-02-14T18:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T18:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T18:00:00-07:00,WCAS
0.004,Breton,Total Oxides of Nitrogen,2026-02-14T18:00:00-07:00,WCAS
0.1,Breton,Outdoor Temperature,2026-02-14T18:00:00-07:00,WCAS
183.0,Breton,Wind Direction,2026-02-14T18:00:00-07:00,WCAS
0.038,Breton,Ozone,2026-02-14T18:00:00-07:00,WCAS
0.004,Breton,Nitrogen Dioxide,2026-02-14T18:00:00-07:00,WCAS
50.7,Breton,Relative Humidity,2026-02-14T18:00:00-07:00,WCAS
1.7,Breton,Outdoor Temperature,2026-02-14T17:00:00-07:00,WCAS
343.0,Breton,Wind Direction,2026-02-14T17:00:00-07:00,WCAS
3.4,Breton,Wind Speed,2026-02-14T17:00:00-07:00,WCAS
0.041,Breton,Ozone,2026-02-14T17:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T17:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-14T17:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-14T17:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T17:00:00-07:00,WCAS
44.5,Breton,Relative Humidity,2026-02-14T17:00:00-07:00,WCAS
1.4,Breton,Outdoor Temperature,2026-02-14T16:00:00-07:00,WCAS
326.0,Breton,Wind Direction,2026-02-14T16:00:00-07:00,WCAS
7.5,Breton,Wind Speed,2026-02-14T16:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T16:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-14T16:00:00-07:00,WCAS
0.041,Breton,Ozone,2026-02-14T16:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T16:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T16:00:00-07:00,WCAS
44.8,Breton,Relative Humidity,2026-02-14T16:00:00-07:00,WCAS
1.4,Breton,Outdoor Temperature,2026-02-14T15:00:00-07:00,WCAS
0.001,Breton,Nitrogen Dioxide,2026-02-14T15:00:00-07:00,WCAS
0.001,Breton,Total Oxides of Nitrogen,2026-02-14T15:00:00-07:00,WCAS
320.0,Breton,Wind Direction,2026-02-14T15:00:00-07:00,WCAS
11.8,Breton,Wind Speed,2026-02-14T15:00:00-07:00,WCAS
0.041,Breton,Ozone,2026-02-14T15:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T15:00:00-07:00,WCAS
50.0,Breton,Relative Humidity,2026-02-14T15:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T15:00:00-07:00,WCAS
310.0,Breton,Wind Direction,2026-02-14T14:00:00-07:00,WCAS
0.04,Breton,Ozone,2026-02-14T14:00:00-07:00,WCAS
66.5,Breton,Relative Humidity,2026-02-14T14:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T14:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T14:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T14:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-14T14:00:00-07:00,WCAS
8.0,Breton,Wind Speed,2026-02-14T14:00:00-07:00,WCAS
0.7,Breton,Outdoor Temperature,2026-02-14T14:00:00-07:00,WCAS
0.036,Breton,Ozone,2026-02-14T13:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T13:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T13:00:00-07:00,WCAS
5.3,Breton,Wind Speed,2026-02-14T13:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-14T13:00:00-07:00,WCAS
74.0,Breton,Relative Humidity,2026-02-14T13:00:00-07:00,WCAS
269.0,Breton,Wind Direction,2026-02-14T13:00:00-07:00,WCAS
-0.2,Breton,Outdoor Temperature,2026-02-14T13:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-14T13:00:00-07:00,WCAS
0.032,Breton,Ozone,2026-02-14T12:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T12:00:00-07:00,WCAS
4.4,Breton,Wind Speed,2026-02-14T12:00:00-07:00,WCAS
0.001,Breton,Nitric Oxide,2026-02-14T12:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-14T12:00:00-07:00,WCAS
77.8,Breton,Relative Humidity,2026-02-14T12:00:00-07:00,WCAS
0.004,Breton,Total Oxides of Nitrogen,2026-02-14T12:00:00-07:00,WCAS
302.0,Breton,Wind Direction,2026-02-14T12:00:00-07:00,WCAS
-2.0,Breton,Outdoor Temperature,2026-02-14T12:00:00-07:00,WCAS
0.023,Breton,Ozone,2026-02-14T11:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T11:00:00-07:00,WCAS
2.9,Breton,Wind Speed,2026-02-14T11:00:00-07:00,WCAS
0.004,Breton,Nitrogen Dioxide,2026-02-14T11:00:00-07:00,WCAS
0.001,Breton,Nitric Oxide,2026-02-14T11:00:00-07:00,WCAS
75.1,Breton,Relative Humidity,2026-02-14T11:00:00-07:00,WCAS
0.005,Breton,Total Oxides of Nitrogen,2026-02-14T11:00:00-07:00,WCAS
330.0,Breton,Wind Direction,2026-02-14T11:00:00-07:00,WCAS
-4.2,Breton,Outdoor Temperature,2026-02-14T11:00:00-07:00,WCAS
0.02,Breton,Ozone,2026-02-14T10:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T10:00:00-07:00,WCAS
0.5,Breton,Wind Speed,2026-02-14T10:00:00-07:00,WCAS
80.0,Breton,Relative Humidity,2026-02-14T10:00:00-07:00,WCAS
-7.4,Breton,Outdoor Temperature,2026-02-14T10:00:00-07:00,WCAS
10.0,Breton,Wind Direction,2026-02-14T10:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-14T10:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T10:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T10:00:00-07:00,WCAS
-8.7,Breton,Outdoor Temperature,2026-02-14T09:00:00-07:00,WCAS
82.8,Breton,Relative Humidity,2026-02-14T09:00:00-07:00,WCAS
343.0,Breton,Wind Direction,2026-02-14T09:00:00-07:00,WCAS
0.005,Breton,Total Oxides of Nitrogen,2026-02-14T09:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T09:00:00-07:00,WCAS
0.8,Breton,Wind Speed,2026-02-14T09:00:00-07:00,WCAS
0.005,Breton,Nitrogen Dioxide,2026-02-14T09:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T09:00:00-07:00,WCAS
0.017,Breton,Ozone,2026-02-14T09:00:00-07:00,WCAS
-8.3,Breton,Outdoor Temperature,2026-02-14T08:00:00-07:00,WCAS
1.7,Breton,Wind Speed,2026-02-14T08:00:00-07:00,WCAS
0.008,Breton,Total Oxides of Nitrogen,2026-02-14T08:00:00-07:00,WCAS
82.9,Breton,Relative Humidity,2026-02-14T08:00:00-07:00,WCAS
324.0,Breton,Wind Direction,2026-02-14T08:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T08:00:00-07:00,WCAS
0.008,Breton,Nitrogen Dioxide,2026-02-14T08:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T08:00:00-07:00,WCAS
0.018,Breton,Ozone,2026-02-14T08:00:00-07:00,WCAS
1.4,Breton,Wind Speed,2026-02-14T07:00:00-07:00,WCAS
83.8,Breton,Relative Humidity,2026-02-14T07:00:00-07:00,WCAS
0.006,Breton,Nitrogen Dioxide,2026-02-14T07:00:00-07:00,WCAS
0.02,Breton,Ozone,2026-02-14T07:00:00-07:00,WCAS
0.006,Breton,Total Oxides of Nitrogen,2026-02-14T07:00:00-07:00,WCAS
-8.3,Breton,Outdoor Temperature,2026-02-14T07:00:00-07:00,WCAS
344.0,Breton,Wind Direction,2026-02-14T07:00:00-07:00,WCAS
0.001,Breton,Nitric Oxide,2026-02-14T07:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T07:00:00-07:00,WCAS
0.02,Breton,Ozone,2026-02-14T06:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-14T06:00:00-07:00,WCAS
82.3,Breton,Relative Humidity,2026-02-14T06:00:00-07:00,WCAS
-8.8,Breton,Outdoor Temperature,2026-02-14T06:00:00-07:00,WCAS
