Value,StationName,ParameterName,ReadingDate
121.0,Enoch,Wind Direction,2026-05-09T22:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-09T22:00:00-06:00
6.6,Enoch,Fine Particulate Matter,2026-05-09T22:00:00-06:00
0.045,Enoch,Ozone,2026-05-09T22:00:00-06:00
0.002,Enoch,Nitrogen Dioxide,2026-05-09T22:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T22:00:00-06:00
4.4,Enoch,Wind Speed,2026-05-09T22:00:00-06:00
35.1,Enoch,Relative Humidity,2026-05-09T22:00:00-06:00
3.0,Enoch,,2026-05-09T22:00:00-06:00
3.0,Enoch,,2026-05-09T21:00:00-06:00
0.002,Enoch,Nitrogen Dioxide,2026-05-09T21:00:00-06:00
118.0,Enoch,Wind Direction,2026-05-09T21:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T21:00:00-06:00
18.0,Enoch,Outdoor Temperature,2026-05-09T21:00:00-06:00
4.0,Enoch,Fine Particulate Matter,2026-05-09T21:00:00-06:00
2.4,Enoch,Wind Speed,2026-05-09T21:00:00-06:00
0.05,Enoch,Ozone,2026-05-09T21:00:00-06:00
0.002,Enoch,Total Oxides of Nitrogen,2026-05-09T21:00:00-06:00
27.9,Enoch,Relative Humidity,2026-05-09T21:00:00-06:00
3.0,Enoch,,2026-05-09T20:00:00-06:00
0.053,Enoch,Ozone,2026-05-09T20:00:00-06:00
19.5,Enoch,Outdoor Temperature,2026-05-09T20:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T20:00:00-06:00
24.1,Enoch,Relative Humidity,2026-05-09T20:00:00-06:00
3.5,Enoch,Fine Particulate Matter,2026-05-09T20:00:00-06:00
0.001,Enoch,Total Oxides of Nitrogen,2026-05-09T20:00:00-06:00
113.0,Enoch,Wind Direction,2026-05-09T20:00:00-06:00
0.001,Enoch,Nitrogen Dioxide,2026-05-09T20:00:00-06:00
3.6,Enoch,Wind Speed,2026-05-09T20:00:00-06:00
3.0,Enoch,,2026-05-09T19:00:00-06:00
19.9,Enoch,Outdoor Temperature,2026-05-09T19:00:00-06:00
24.2,Enoch,Relative Humidity,2026-05-09T19:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T19:00:00-06:00
0.001,Enoch,Nitrogen Dioxide,2026-05-09T19:00:00-06:00
121.0,Enoch,Wind Direction,2026-05-09T19:00:00-06:00
3.8,Enoch,Fine Particulate Matter,2026-05-09T19:00:00-06:00
0.001,Enoch,Total Oxides of Nitrogen,2026-05-09T19:00:00-06:00
4.3,Enoch,Wind Speed,2026-05-09T19:00:00-06:00
0.053,Enoch,Ozone,2026-05-09T19:00:00-06:00
3.0,Enoch,,2026-05-09T18:00:00-06:00
4.0,Enoch,Fine Particulate Matter,2026-05-09T18:00:00-06:00
0.001,Enoch,Nitrogen Dioxide,2026-05-09T18:00:00-06:00
0.052,Enoch,Ozone,2026-05-09T18:00:00-06:00
20.1,Enoch,Outdoor Temperature,2026-05-09T18:00:00-06:00
189.0,Enoch,Wind Direction,2026-05-09T18:00:00-06:00
24.6,Enoch,Relative Humidity,2026-05-09T18:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T18:00:00-06:00
0.001,Enoch,Total Oxides of Nitrogen,2026-05-09T18:00:00-06:00
5.4,Enoch,Wind Speed,2026-05-09T18:00:00-06:00
3.0,Enoch,,2026-05-09T17:00:00-06:00
0.001,Enoch,Total Oxides of Nitrogen,2026-05-09T17:00:00-06:00
146.0,Enoch,Wind Direction,2026-05-09T17:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T17:00:00-06:00
0.05,Enoch,Ozone,2026-05-09T17:00:00-06:00
5.3,Enoch,Wind Speed,2026-05-09T17:00:00-06:00
26.3,Enoch,Relative Humidity,2026-05-09T17:00:00-06:00
19.6,Enoch,Outdoor Temperature,2026-05-09T17:00:00-06:00
0.001,Enoch,Nitrogen Dioxide,2026-05-09T17:00:00-06:00
4.1,Enoch,Fine Particulate Matter,2026-05-09T17:00:00-06:00
3.0,Enoch,,2026-05-09T16:00:00-06:00
0.049,Enoch,Ozone,2026-05-09T16:00:00-06:00
4.3,Enoch,Fine Particulate Matter,2026-05-09T16:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T16:00:00-06:00
18.7,Enoch,Outdoor Temperature,2026-05-09T16:00:00-06:00
0.001,Enoch,Nitrogen Dioxide,2026-05-09T16:00:00-06:00
5.0,Enoch,Wind Speed,2026-05-09T16:00:00-06:00
40.0,Enoch,Wind Direction,2026-05-09T16:00:00-06:00
27.8,Enoch,Relative Humidity,2026-05-09T16:00:00-06:00
0.001,Enoch,Total Oxides of Nitrogen,2026-05-09T16:00:00-06:00
0.001,Enoch,Total Oxides of Nitrogen,2026-05-09T15:00:00-06:00
28.9,Enoch,Relative Humidity,2026-05-09T15:00:00-06:00
244.0,Enoch,Wind Direction,2026-05-09T15:00:00-06:00
5.8,Enoch,Wind Speed,2026-05-09T15:00:00-06:00
0.001,Enoch,Nitrogen Dioxide,2026-05-09T15:00:00-06:00
18.1,Enoch,Outdoor Temperature,2026-05-09T15:00:00-06:00
0.0,Enoch,Nitric Oxide,2026-05-09T15:00:00-06:00
5.3,Enoch,Fine Particulate Matter,2026-05-09T15:00:00-06:00
