Value,StationName,ParameterName,ReadingDate
0.003,Hinton-Drinnan,Nitric Oxide,2026-01-20T10:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T10:00:00-07:00
236.0,Hinton-Drinnan,Wind Direction,2026-01-20T10:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T10:00:00-07:00
1.0,Hinton-Drinnan,Wind Speed,2026-01-20T10:00:00-07:00
0.028,Hinton-Drinnan,Ozone,2026-01-20T10:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T10:00:00-07:00
0.01,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T10:00:00-07:00
3.0,Hinton-Drinnan,,2026-01-20T10:00:00-07:00
3.0,Hinton-Drinnan,,2026-01-20T09:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T09:00:00-07:00
4.8,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T09:00:00-07:00
0.031,Hinton-Drinnan,Ozone,2026-01-20T09:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T09:00:00-07:00
-1.8,Hinton-Drinnan,Outdoor Temperature,2026-01-20T09:00:00-07:00
0.0,Hinton-Drinnan,Nitric Oxide,2026-01-20T09:00:00-07:00
3.3,Hinton-Drinnan,Wind Speed,2026-01-20T09:00:00-07:00
0.01,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T09:00:00-07:00
51.8,Hinton-Drinnan,Relative Humidity,2026-01-20T09:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T09:00:00-07:00
237.0,Hinton-Drinnan,Wind Direction,2026-01-20T09:00:00-07:00
0.011,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T09:00:00-07:00
1.5,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T08:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T08:00:00-07:00
3.8,Hinton-Drinnan,Wind Speed,2026-01-20T08:00:00-07:00
235.0,Hinton-Drinnan,Wind Direction,2026-01-20T08:00:00-07:00
0.041,Hinton-Drinnan,Ozone,2026-01-20T08:00:00-07:00
0.001,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T08:00:00-07:00
0.002,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T08:00:00-07:00
-2.0,Hinton-Drinnan,Outdoor Temperature,2026-01-20T08:00:00-07:00
52.4,Hinton-Drinnan,Relative Humidity,2026-01-20T08:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T08:00:00-07:00
0.0,Hinton-Drinnan,Nitric Oxide,2026-01-20T08:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T08:00:00-07:00
2.0,Hinton-Drinnan,,2026-01-20T08:00:00-07:00
6.4,Hinton-Drinnan,Wind Speed,2026-01-20T07:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T07:00:00-07:00
-1.5,Hinton-Drinnan,Outdoor Temperature,2026-01-20T07:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T07:00:00-07:00
0.005,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T07:00:00-07:00
2.0,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T07:00:00-07:00
0.005,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T07:00:00-07:00
230.0,Hinton-Drinnan,Wind Direction,2026-01-20T07:00:00-07:00
0.038,Hinton-Drinnan,Ozone,2026-01-20T07:00:00-07:00
0.0,Hinton-Drinnan,Nitric Oxide,2026-01-20T07:00:00-07:00
2.0,Hinton-Drinnan,,2026-01-20T07:00:00-07:00
53.9,Hinton-Drinnan,Relative Humidity,2026-01-20T07:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T07:00:00-07:00
2.0,Hinton-Drinnan,,2026-01-20T06:00:00-07:00
-1.9,Hinton-Drinnan,Outdoor Temperature,2026-01-20T06:00:00-07:00
0.003,Hinton-Drinnan,Nitrogen Dioxide,2026-01-20T06:00:00-07:00
62.5,Hinton-Drinnan,Relative Humidity,2026-01-20T06:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T06:00:00-07:00
0.037,Hinton-Drinnan,Ozone,2026-01-20T06:00:00-07:00
0.001,Hinton-Drinnan,Hydrogen Sulphide,2026-01-20T06:00:00-07:00
227.0,Hinton-Drinnan,Wind Direction,2026-01-20T06:00:00-07:00
5.0,Hinton-Drinnan,Wind Speed,2026-01-20T06:00:00-07:00
1.8,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T06:00:00-07:00
0.0,Hinton-Drinnan,Nitric Oxide,2026-01-20T06:00:00-07:00
0.003,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T06:00:00-07:00
0.001,Hinton-Drinnan,Sulphur Dioxide,2026-01-20T06:00:00-07:00
1.3,Hinton-Drinnan,Fine Particulate Matter,2026-01-20T05:00:00-07:00
-1.3,Hinton-Drinnan,Outdoor Temperature,2026-01-20T05:00:00-07:00
0.0,Hinton-Drinnan,Total Reduced Sulphur,2026-01-20T05:00:00-07:00
0.002,Hinton-Drinnan,Total Oxides of Nitrogen,2026-01-20T05:00:00-07:00
0.038,Hinton-Drinnan,Ozone,2026-01-20T05:00:00-07:00
226.0,Hinton-Drinnan,Wind Direction,2026-01-20T05:00:00-07:00
63.7,Hinton-Drinnan,Relative Humidity,2026-01-20T05:00:00-07:00
0.0,Hinton-Drinnan,Nitric Oxide,2026-01-20T05:00:00-07:00
6.8,Hinton-Drinnan,Wind Speed,2026-01-20T05:00:00-07:00
